Proteome Id	Organism Id
UP000182130	1045773
UP000199034	1045774
UP000198855	1045775
UP000256269	1045776
UP000005870	1045855
UP000008522	1045858
UP000033201	104605
UP000721061	104608
UP000240608	1046115
UP000017700	104623
UP000233778	104623
UP000317935	104628
UP000050898	1046596
UP000316778	104662
UP000003730	1046627
UP000199045	104663
UP000294615	1047172
UP000295247	1048
UP000186455	1048205
UP000006177	1048260
UP000000508	1048332
UP000198534	1048340
UP000095197	1048380
UP000230161	1048394
UP000199079	1048396
UP000286934	1048642
UP000004491	1048808
UP000464283	1048830
UP000000292	1048834
UP000027821	1048983
UP000269157	1049199
UP000005167	1049564
UP000192929	1049583
UP000471026	1049583
UP000018747	1049759
UP000015454	1049789
UP000018719	1049790
UP000001148	1049804
UP000012092	1049910
UP000012137	1049928
UP000006324	1049937
UP000001340	1049938
UP000006253	1049966
UP000004889	1049972
UP000012106	1049976
UP000012145	1049977
UP000006329	1049984
UP000012160	1049985
UP000012249	1049986
UP000636960	1050105
UP000035368	1050174
UP000250096	1050370
UP000515737	1050624
UP000515656	1050646
UP000515523	1050657
UP000515510	1050714
UP000007832	1051006
UP000000499	1051072
UP000285123	1051139
UP000547510	1051531
UP000030071	1051646
UP000028704	1051981
UP000218890	1052
UP000255008	105219
UP001190002	105219
UP000306751	1052212
UP000309626	1052212
UP000199088	1052260
UP000002651	1052585
UP000006600	1053189
UP000004136	1053201
UP000014003	1053205
UP000006977	1053206
UP000014009	1053211
UP000013989	1053215
UP000006972	1053216
UP000006997	1053219
UP000006607	1053223
UP000014040	1053224
UP000006596	1053225
UP000006960	1053226
UP000014019	1053231
UP000014018	1053233
UP000014020	1053236
UP000006967	1053238
UP000014028	1053242
UP000014023	1053243
UP000247814	1053551
UP000280507	1053647
UP000008889	1053692
UP000503482	1054033
UP000290378	1054034
UP000290870	1054034
UP000247727	1054202
UP000003292	1054213
UP000012076	1054217
UP000628984	1054497
UP000247555	1054498
UP000030760	1054862
UP000184191	1054996
UP000004626	1055352
UP000431485	1055468
UP000438196	1055469
UP000003511	1055526
UP000007885	1055527
UP000008534	1055530
UP000010078	1055532
UP000245156	1055533
UP001187825	1055535
UP001179981	1055536
UP000327066	1055537
UP000516464	1055538
UP000245157	1055541
UP000000393	105559
UP000321659	105612
UP000010469	1056495
UP000306753	1056496
UP000011134	1056511
UP000011223	1056512
UP000031390	1056807
UP000198816	1058
UP000433359	105843
UP000183812	1061
UP000310597	1061
UP000541421	106147
UP000258312	1062
UP000261942	1062
UP000262445	1062
UP000262980	1062
UP000264226	1062
UP000264340	1062
UP000774338	1062
UP000248975	1063
UP000001937	106370
UP000198282	106412
UP001138768	1064514
UP000010111	1064535
UP000007319	1064539
UP000760668	106588
UP000189627	106590
UP000253501	106590
UP000037425	106592
UP001055460	106592
UP000587070	1066
UP000064201	106634
UP000490535	106648
UP000644140	106648
UP000887320	106649
UP000016203	106651
UP000027208	106654
UP000237921	106654
UP000252392	106654
UP000662584	106654
UP000031952	1068590
UP000062973	1068978
UP000192602	1069081
UP000053695	1069083
UP000193577	1069220
UP000001279	1069534
UP000035553	1069536
UP000010074	1069642
UP000571128	1069827
UP000592181	1069963
UP000031246	1069985
UP000095665	1070130
UP000054051	1070319
UP000549765	1070421
UP000640052	1070424
UP000538147	1070431
UP000030639	1070774
UP000265768	1070861
UP000184471	1070870
UP000239724	1071
UP000464115	1071078
UP000464960	1071080
UP000464149	1071085
UP000012044	1071390
UP000007332	1071400
UP000027439	1071679
UP000441354	1071718
UP000198517	1071918
UP000035548	1072256
UP000276888	1072463
UP000011228	1072467
UP000005756	1072583
UP000003484	1072681
UP000028945	1072685
UP000219374	1073196
UP000578449	1073253
UP000194841	107327
UP000183945	1073325
UP000184609	1073327
UP000199592	1073328
UP000014614	1073351
UP000011782	1073353
UP000018554	1073362
UP000018727	1073366
UP000018716	1073372
UP000018690	1073375
UP000018683	1073376
UP000006087	1073383
UP000193435	1073423
UP000033163	1073571
UP000035088	1073574
UP000198888	1073996
UP000009340	1073999
UP000198418	1074
UP000439113	1074
UP000061974	1074000
UP000429474	107401
UP000262832	1074311
UP000061546	1074467
UP000006133	1074889
UP000032744	1074919
UP000006023	1075090
UP000007112	1075399
UP000176101	1075402
UP000198510	1075417
UP000032515	1076
UP000248134	1076
UP000285523	1076
UP000782519	1076
UP000502508	1076124
UP000482960	1076125
UP000482800	1076126
UP000586903	1076397
UP000238176	1076443
UP000574690	1076443
UP000030853	1076549
UP000232062	1076549
UP000193558	1076550
UP000193104	1076551
UP000031631	1076588
UP000885822	1076588
UP000886100	1076588
UP000886339	1076588
UP000194931	1076594
UP000189055	1076596
UP000548726	1076596
UP000267035	1076744
UP000267521	1076744
UP000281171	1076744
UP000190139	1076926
UP000468864	1076926
UP000530654	1076926
UP000625720	1076926
UP000015268	1076934
UP000199771	1076937
UP000244223	1077255
UP000217528	1077256
UP000246004	1077256
UP000192428	1077464
UP000192532	1077464
UP000192789	1077464
UP000193030	1077464
UP000193538	1077464
